あわてます 慌てます 慌张，着急，匆忙，慌乱；惊慌失措
すいさん 水産 水产，水产物，水产业
みずぎ 水着 泳装，泳衣
すいとう0 水筒 名 水壶，水瓶（通常指便携式的盛水容器）
すいそ 水素 氢，氢气
みずいろ 水色 淡蓝色，浅蓝色
すいしつ 水質 水质，指水的物理、化学和生物特性的总和
すいどう0 水道 自来水；自来水管道；水道，水路
すいどうきょく 水道局 名词 负责自来水供应、下水道管理等的地方政府机构或公共事业部门
すいどうすい 水道水 自来水，通过管道供应的饮用水
すいどうかん 水道管 自来水管道，供水管
すいごう 水郷 水に囲まれた町や地域。水辺の風景が特徴的な場所。
こおり0 氷 名词 冰，冰块
ひょうがき 氷河期 名词 冰河期，冰川期（地球历史上气候寒冷，大陆被大规模冰川覆盖的时期）
えいきゅう 永久 永久，永远，永恒
えいえん 永遠 永远，永恒，永久
はんらん 氾濫 泛滥，溢出；（不良现象等）蔓延，泛滥
しる 汁 汤汁，汤；（水果、蔬菜等的）汁液，汁水
もとめます 求めます 要求；寻求；追求；请求；征求
もとめる 求める 1. 寻求，追求，探求；2. 要求，请求，征求；3. 购买，求购；4. 需要，需求
きゅうじんなん 求人難 招聘困难，招工难
きゅうこん 求婚 求婚，请求结婚
きゅうしょく 求職 求职，找工作
あせ 汗 汗水，汗珠
あせがるい 汗臭い 有汗臭味的，汗馊的
きたない 汚い 脏的，不干净的；卑鄙的，卑劣的；不道德的，不正当的
よごします 汚します 弄脏，玷污；使不纯洁，败坏
よごす 汚す 弄脏，玷污，污染
けがらわしい 汚らわしい 污秽的，肮脏的；卑鄙的，卑劣的，令人不齿的
よごれ 汚れ 污渍，污垢，肮脏之处；污点，瑕疵，不光彩
よごれます 汚れます 变脏，被弄脏
よごれる 汚れる 变脏，被污染，玷污，（名誉等）受损
おせん 汚染 污染，弄脏，指有害物质或因素进入环境，使环境质量下降的现象
おしょく 汚職 贪污，渎职，腐败行为
おしょくじけん 汚職事件 名 贪污事件，腐败事件
えどまえ 江戸前 指江户时代以来在东京湾（江户湾）捕获的新鲜鱼类，特别是适合制作寿司的优质鱼类；也指以此类鱼为原料制作的江户风格寿司等料理
いけ 池 池塘，水池，池子
くむ 汲む 1. 打水，汲水；2. 斟，倒（茶、酒等）；3. 吸取，吸收（知识、经验等）
けっして 決して 副词 绝对（不），决（不），断然（不）。用于强调否定，通常与否定形式呼应使用。
きまって 決まって 一定，必定，总是
きまり0 決まり 规定，规则，规章；决定，结果；习惯，惯例
きまります 決まります 决定，规定，固定，确定
きまりわるい 決まり悪い 不好意思的，难为情的，尴尬的，不自然的
きまりもんく 決まり文句 口头禅，老一套的话，固定说法，惯用句
きまる 決まる 决定，规定；确定，固定；解决，了结；（命运等）注定
きめます 決めます 决定，规定，选定，下决心
きめる 決める 决定，规定，选定，判断，断定
きめつける 決め付ける （不容分说地）断定，认定；（强行）决定；指责，申斥
けっしょう 決勝 决赛，决定胜负的比赛
けってい 決定 名词：决定，决断；サ変动词：决定，确定
けっしん 決心 名词：决心，决意；サ変动词：下决心，决意
けつい 決意 决心，决意，坚定的意志
けつだん 決断 决断，果断做出决定
けっさい 決済 结算，支付，结账；（金融）清算
けっちゃく 決着 了结，解决，决断，最终结果
けっさん 決算 结算，决算，(财务)结账
けっこう 決行 决定并实行；断然执行，坚决实施
けっさい 決裁 裁决，审批，批准（指对重要事项进行正式的审查和决定）
けつぎ 決議 决议，正式决定
きしゃ 汽車 火车，蒸汽机车
しずむ 沈む 1. （太阳、月亮等）落下，沉落；2. （船等）沉没；3. （情绪、声音等）低沉，消沉；4. （颜色等）变深，暗淡
しずめる 沈める 1. 使下沉，使沉没；2. 使降落，使落下；3. 使消沉，使沮丧；4. （把目光等）向下看，垂下
ちんでん 沈殿 沉淀；沉积
ちんもく 沈黙 名词 沉默，默不作声
おき 沖 海上，洋面；湖心，湖心处；离岸较远的地方
ぼっしゅう 没収 没收，查抄，收归公有
ぼつらく 没落 没落，衰败，衰落，败落
かせん 河川 河流，河川（天然形成的较大水流）
かっぱ 河童 （日本民间传说中的水生妖怪）河童；擅长游泳的人
わかす 沸かす 1. 烧开，烧热；2. 使沸腾；3. 激起，使激动
わきあがる 沸き上がる 1. （液体）沸腾，煮开；2. （感情、声音等）涌现，涌起；3. （人群等）蜂拥而至，涌现出来
わく 沸く 1. 沸腾，烧开；2. 激动，兴奋；3. 涌现，产生
ふっとう 沸騰 1. （液体）沸腾；2. （情绪等）高涨，激动，沸腾
あぶら 油 油，油脂；石油，煤油
あぶらあげ 油揚げ 名词 油炸豆腐（将豆腐切成薄片油炸而成，常用于味噌汤、寿司等）
ゆだん 油断 名词：疏忽，麻痹，大意；自动词：疏忽，麻痹大意，放松警惕
ヨウティアオ 油条 中国の伝統的な揚げ物。小麦粉の生地を細長く伸ばして二つ組み合わせ、油で揚げたもの。朝食としてよく食べられる
あぶらえ 油絵 油画，用油彩绘制的画
なおす 治す 医治，治疗；修理，修复；改正，纠正
なおります 治ります 痊愈，治好，恢复健康；修理好，修复
なおる 治る 治愈，痊愈，病愈；修理好，修复；平息，解决
ちあん 治安 社会的な秩序が保たれ、人々が安心して生活できる状態
ちりょう 治療 治疗，疗法
ぬま 沼 沼泽，泥潭，沼地
そう 沿う 沿，顺，按照，遵循
えんがん 沿岸 名词 沿岸，沿海（靠近海岸的地区）
えんかい 沿海 沿海，海岸附近
えんせん 沿線 （铁路、公路等）沿线，沿途
いずみ 泉 泉，泉水；源泉，根源
とまり 泊まり 住宿，过夜，投宿
とまります 泊まります 住宿，投宿，住下（如酒店、朋友家等）
とまる 泊まる 住宿，投宿；（船、车等）停泊，停靠
ほう 法 法律；法规；方法；方式；法则；规律
ほうじん 法人 法人，指依法成立、具有民事权利能力和民事行为能力，依法独立享有民事权利和承担民事义务的组织
ほうそく 法則 法则；定律；规律，规则
ほうむしょう 法務省 （日本政府机构）法务省，负责司法行政、民事、刑事、户籍、国籍、人权保护等事务的中央省厅
ほうがく 法学 法学，法律学，研究法律的学问
ほうてい 法廷 法庭，法院
ほうりつ 法律 法律，法规
ほうあん 法案 法律案，法案（立法机关正在审议或已通过的法律草案）
ほうき 法規 法规，法律和规章的总称
あわ 泡 泡，泡沫；水花，气泡
なみ 波 波浪；波涛；波动；潮流
はきゅう 波及 波及，影响到，扩展到
はせん 波線 波浪线，波纹线（呈波浪状的线条，常用于表示强调、删除或代替文字等）
なきます 泣きます 哭，哭泣，流泪
なきだす 泣き出す 开始哭，哭起来，放声大哭
なきごえ 泣き声 哭声，哭泣声
なきむし 泣き虫 爱哭的人，动不动就哭的人
なける 泣ける 能哭；容易哭；忍不住哭，不禁流泪
どろ 泥 名词 泥，泥土；淤泥，泥浆；小偷，扒手
どろしあい 泥仕合 互相揭短，互揭疮疤，互相攻击对方的缺点或过去的失败经历
どろぼう 泥棒 小偷，盗贼，扒手
でいのう 泥濘 泥泞；泥泞的地方；（比喻）困境，泥潭
そそぐ 注ぐ 注入，倒入；斟（酒等）；集中（目光、注意力等）
ちゅうしゃ 注射 注射，打针
ちゅうい 注意 注意，留神，小心；提醒，警告，劝告
ちゅういします 注意します 注意，留意，小心；提醒，警告
ちゅうもん 注文 名词：1. 订货，订购；2. 所订的货物，订单；3. 点菜，所点的菜。サ変动词：1. 订货，订购；2. 点菜。
ちゅうもく 注目 注视，注目，关注，重视
およぎます 泳ぎます 游泳，游水
およぐ 泳ぐ 游泳，游水；（液体）流动，荡漾
ようしつ 洋室 西式房间，采用西方建筑风格和家具布置的房间
ようしき 洋式 西式，西洋式（指建筑、家具、服装等的风格或样式）
ようふく 洋服 西服，西装，西式服装
ようがし 洋菓子 西式糕点，指从西方传入日本的糕点，与和菓子（日式传统糕点）相对
ようしゅ 洋酒 西洋の酒類の総称。主にワイン、ウイスキー、ブランデー、焼酎（一部）などを指す。
ようふう 洋風 西式风格，西洋式
ようしょく0 洋食 西餐，西式料理
しゃれる 洒落る 1. 打扮得漂亮，讲究穿着；2. 说俏皮话，开玩笑；3. （事物）别致，有风趣
あらいます 洗います 洗，洗涤
あらう 洗う 洗，清洗，洗涤；冲刷，冲洗；洗刷（耻辱等）
せんざい 洗剤 洗涤剂，清洗剂
せんたく 洗濯 洗涤，洗衣，洗的衣物
せんたくします 洗濯します 洗涤，洗衣服
せんたくき 洗濯機 洗衣机，用于洗涤衣物的家用电器
せんたくもの 洗濯物 要洗的衣物；洗好的衣物，待晾晒或已晾晒的衣物
せんたくする 洗濯する 洗涤，清洗，洗（衣物等）
せんれん 洗練 1. 洗练，精炼，千锤百炼（指经过反复推敲、加工使事物变得精致、完美）；2. 讲究，考究（指在品味、风格等方面追求精致高雅）
せんれんします 洗練します 精炼，洗练，使精致，使高雅
つなみ 津波 海啸，由海底地震、火山爆发等引起的巨大海浪
こうずい 洪水 名词 洪水，大水
かつりょく 活力 活力，生命力，精力
かつどう 活動 活动，指有组织、有目的的行动或运动；也指身体或精神的活动
かつじ 活字 活字；铅字；活字印刷品
かっせいか 活性化 名词：振兴，激活，使具有活力；サ変动词：使振兴，使激活，使具有活力
かっせいたん 活性炭 活性炭，一种具有强吸附能力的炭，用于净化空气、水等
かっき 活気 活力，生气，朝气，生命力
かっきづける 活気づける 使...充满活力，使...活跃起来
かつよう 活用 1. 灵活运用，有效利用；2. （语法）词尾变化，活用
かっぱつ 活発 形容动词，指充满活力、积极行动的样子；或指事物进行得热烈、频繁。
かつやく 活躍 活跃，发挥作用，表现出色
かつやくする 活躍する 大显身手，活跃，发挥作用
はで 派手 华丽，花哨，鲜艳；张扬，高调，引人注目
はけん 派遣 派遣，派出（指将人员派往特定地点或单位执行任务）
はけんする 派遣する 派遣，派出（将人员或事物派往特定地点或岗位执行任务）
ながす 流す 1. 冲走，冲掉；2. 流放，放逐；3. 播放（声音、影像等）；4. 流鼻涕，流眼泪；5. 使……流动，使……流淌
ながれる 流れる 流动，流淌；流逝，过去；流传，传播；倾向于，趋向于
ながれぼし 流れ星 流星，指宇宙中的小天体进入地球大气层时因摩擦燃烧而产生的光迹
ながれこむ 流れ込む 流入，流进；大量进入，涌入
りゅういき 流域 河流及其支流所流经的区域，流域
りゅうちょう 流暢 流畅的，流利的，通顺的
りゅうこう 流行 流行，时髦；（疾病等）蔓延，传播
りゅうこうします 流行します 流行，时兴，时髦
はやる 流行る 1. 流行，时髦，时兴；2. （疾病、谣言等）蔓延，传播
りゅうつう 流通 （商品、货币、信息等在社会或特定范围内）流通，流转；（空气、水等）流动，畅通
じょうか 浄化 净化；清除杂质使其纯净；（特指）净化水质、空气等；精神上的净化
じょうすいしょりしせつ 浄水処理施設 对原水进行净化处理，使其达到生活饮用或工业用水标准的设施
じょうすいき 浄水器 名词 净水器（将水净化，去除杂质、细菌等的装置）
じょうすいじょう 浄水場 净水厂，对原水进行净化处理，使其达到饮用或工业用水标准的设施
あさい 浅い 浅的；（颜色、程度等）浅的，淡的；（时间、距离等）短的，近的；（感情、理解等）肤浅的，浅薄的
あさはか 浅はか 浅薄的，肤浅的，缺乏深度的，考虑不周的
あさましい 浅ましい 卑鄙的；可耻的；可叹的；凄惨的
せんぱく 浅薄 浅薄，肤浅，缺乏深度和内涵
さらう 浚う 疏浚，淘空，清除（河、沟等的泥沙或杂物）
はま 浜 海滨，湖滨，河边，岸边
はまべ 浜辺 海滨，湖滨，岸边
ろうにん 浪人 1. 江户时代失去主家的武士；2. 未考上理想学校而复读的学生；3. 失业者，待业人员
ろうひ 浪費 浪费，挥霍，糟蹋（金钱、时间、资源等）
うかびます 浮かびます 浮起，漂浮；浮现，呈现；想起，涌现
うかびあがる 浮かび上がる 1. 浮起，漂浮上来；2. 出现，显露，显现；3. （才能、问题等）显露出来，变得明显；4. （地位、名声等）提高，发迹，崛起
うかぶ 浮かぶ 1. 漂浮，浮起；2. 浮现，呈现；3. 想起，涌上心头；4. 结余，剩余
うかべる 浮かべる 1. 使……浮起，使……漂浮；2. 使……浮现，使……呈现；3. 想起，回忆起；4. （在脸上）露出（表情）
うく 浮く 1. 漂浮，浮起；2. 松动，脱离；3. （心情）轻松，舒畅；4. （价格等）上涨，腾贵
うきよえ 浮世絵 浮世绘，日本江户时代兴起的一种民间绘画，题材多为风景、人物、风俗等
うわき 浮気 见异思迁，感情不专一；出轨，婚外情
あびます 浴びます 淋浴；浇，淋；蒙受，遭受
あびる 浴びる 淋，浇；沐浴，蒙受；遭受
よくしつ 浴室 浴室，洗澡间
ゆかた 浴衣 夏季穿着的简易和服，通常由棉或麻制成，设计轻薄透气，多在夏季祭典、花火大会等场合穿着
うみ 海 海洋，大海，海
かいじょう 海上 名词 海上，海面
かいがい 海外 海外，国外，指本国以外的国家或地区
かいがいじぎょうぶ 海外事業部 负责公司海外业务的部门
かいがいりょこう 海外旅行 名 国外旅行，到国外的旅行
かいがん 海岸 海岸，海滨，沿海地带
かいきょう 海峡 连接两个海域的狭窄水道，海峡
かいてい 海底 海洋的底部，海底
かいばつ 海抜 海拔，超出海平面的高度
かいすい 海水 海水，含有盐分的海水
かいすいよく 海水浴 名词 海水浴，在海水中游泳或进行的沐浴活动
うみぞい 海沿い 沿海，海边，海岸一带
かいよう 海洋 海洋，大海
かいりゅう 海流 海洋中大规模、稳定流动的水流
のり 海苔 海苔，紫菜（特指可食用的海藻，常用于制作寿司、饭团等）
かいそう 海藻 生长在海中的藻类植物的总称
かいぞくばん 海賊版 盗版，非法复制的出版物、音像制品等
かいろ 海路 海路，海上航线，航海路线
かいうん 海運 海运，海上运输
うみびらき 海開き 海水浴场开放；海滨浴场的开业日
かいめん 海面 名词 海面，海水的表面
ひたかる 浸かる 浸泡；沉浸；泡澡；沉溺于
ひたす 浸す 浸，泡，使...沉浸在液体中
ひたる 浸る 1. 浸，泡；2. 沉浸，沉醉，专心致志于
しんすい 浸水 浸水，被水淹没；淹水
しんとうする 浸透 1. 液体等慢慢渗透、渗入；2. 思想、影响等逐渐深入、普及
きえます 消えます 熄灭，消失，不见
きえる 消える 消失，不见；熄灭，关掉；消除，解除
きえゆく 消え行く 逐渐消失，渐渐消逝；行将灭绝，日趋消亡
けします 消します 1. 关掉，熄灭（电灯、火、煤气等）；2. 消除，去除（痕迹、污渍、错误等）；3. 使消失，使不存在；4. 注销，删除（记录等）
けしゴム 消しゴム 橡皮，橡皮擦
けす 消す 消除；删除；熄灭；关掉（电源、灯等）；抹去；使消失
しょうか 消化 1. 食物在体内被分解吸收的过程；2. 理解并吸收知识、信息等；3. 处理、解决积压的工作或任务
しょうきょ 消去 删除，消除，消去（数学等中的消去法）
しょうそく 消息 消息，信息；情况，动态
しょうきょくてき 消極的 形容动词，指态度、行动等不积极主动，倾向于退缩或否定的；消极的，被动的
しょうどく 消毒 消毒，杀菌，对物品或空间进行处理以杀灭细菌、病毒等微生物
しょうか 消火 灭火，消防；消火，灭火作业
しょうもう 消耗 消耗，耗费，耗尽（资源、体力、时间等）
しょうひ 消費 消费，消耗；花费（金钱、时间、精力等）
しょうひぜい 消費税 对商品和服务的消费所征收的税
しょうひしゃ 消費者 商品やサービスを購入して使用する人。顧客。
しょうぼうし 消防士 消防员，消防队员
なみだ 涙 眼泪，泪水；泪状物，泪滴
えき 液 液体，汁液
えきたい 液体 液体，液态物质
えきか 液化 （物理用语）物质が気体から液体へ変化すること。また、その操作。
かれる 涸れる 干涸；枯竭，耗尽；（热情、兴趣等）减退，消失
すずしい 涼しい 凉爽的，凉快的；清澈的，明亮的；冷静的，沉着的
すずかぜ 涼風 凉风，清爽的风
しとやか 淑やか 端庄的，娴静的，文雅的，贤淑的
あわい 淡い （颜色）浅的；（味道）淡的；（感情、记忆等）淡薄的，不强烈的；（光线）微弱的；（声音）低沉的
たんすい 淡水 淡水，不含盐分的水
たんぱく 淡泊 1. （味道）清淡，不油腻；2. （性格、态度）坦率，淡泊，不执着于名利；3. （情感）淡然，不热烈
ふかい 深い 1. 深的；2. （颜色、程度等）深的，浓的；3. （感情、理解等）深厚的，深刻的；4. （时间）晚的；5. （声音）低沉的
ふかさ 深さ 深度；深浅程度
ふかまる 深まる 加深，变深；（感情、关系等）深化，深厚
ふかみ 深み 1. 深度；2. （颜色、味道、声音等的）浓厚，深厚；3. （感情、思想等的）深度，深邃
ふかめる 深める 加深，深化；使...变深；加强，增进
しんこく 深刻 形容动词。严肃，严重；深刻，深入
しんか 深化 深化，加深，使程度、关系等进一步发展
しんや 深夜 指深夜，深夜时分，通常指午夜12点以后到黎明前的时间段
ふち 淵 渊，潭；（比喻）深渊，困境，根本，源泉
まざる 混ざる 混杂，夹杂，掺杂；混合在一起，融入
まぜる 混ぜる 混合，搅拌，搀和；使...混杂在一起
こんらん 混乱 混乱，杂乱无章，紊乱
こんらんする 混乱する 混乱，紊乱，杂乱无章
こんごう 混合 混合，混杂，搀和
こんどう 混同 混为一谈，混淆，把不同的事物错误地看作是相同的
こんざい 混在 混在一起，混杂，并存
こんしゅご 混種語 由两种以上不同语言成分混合构成的词语，特指日语中由和语与外来语、汉语与外来语等组合而成的词汇
こんけつ 混血 不同种族或民族的父母所生的孩子；混血儿
こんざつ 混雑 混乱，杂乱，拥挤；指人或事物大量聚集而变得混乱的状态
そえる 添える 1. 附上，附加，添加；2. 伴随，陪同，偕同；3. 搭配，配（菜等）
てんぷ 添付 添上，附上，附加（文件、资料等）
てんか 添加 添加，加入，附加
きよい 清い 清澈的；纯洁的；干净的；清廉的
きよらか 清らか 清澈的；纯洁的；清爽的；洁净的
せいそう 清掃 清扫，扫除，清理
せいしょ 清書 誊写，抄写清楚；正式誊清的文稿
しみず 清水 清水，清泉；清澈的水
せいりょういんりょうすい 清涼飲料水 清涼感のある飲料水の総称。暑い時などに飲用する、炭酸飲料、果汁飲料、茶系飲料などを含む
すがすがしい 清清しい 清澈的，清爽的，神清气爽的
せいけつ 清潔 形容詞 清洁的，干净的；名词 清洁，卫生
せいだく 清濁 1. （水的）清浊；2. （事物、性质的）善恶，好坏，优劣
せいさん 清算 1. 结算，清算（金钱、账目等的最终处理）；2. 了结，结束（问题、关系等的彻底解决）；3. （破产时的）清算
せいちょう 清聴 倾听，恭敬地听
かわきます 渇きます 口渴，干渴
かわく 渇く 渴，口渴；渴望，渴求
すます 済ます 1. 做完，完成，处理完；2. 解决，了结；3. 将就，凑合；4. 付清，偿还
すませます 済ませます 完成，处理完，解决；付清，偿还
すみます 済みます 完成，结束，解决；够用，足够；已付清，已了结
すむ 済む 结束，完了；解决，办妥；足够，过得去；已付款
しぶい 渋い 1. 味道涩的；2. （心情）郁闷的，怏怏不乐的；3. （色彩、风格等）素雅的，雅致的；4. （性格、行为）吝啬的，小气的；5. （动作）迟缓的，不敏捷的
じゅうたい 渋滞 1. （交通）堵塞，拥堵；2. （事物进展）停滞，不顺利，拖延
じゅうたいします 渋滞します 堵车，交通拥堵；停滞，不顺畅
なぎさ 渚 海滨，湖滨，岸边
へらす 減らす 减少，降低，缩减，减轻，削减
へります 減ります 减少，降低，减轻
へる 減る 减少，降低；（数量、程度等）变少；（肚子）饿
げんしょう 減少 减少，降低，下降
げんてん 減点 减分，扣分（因答案错误、违反规定等从总分中扣除分数）
げんきゅう 減給 减薪，降低工资
げんたい 減退 减退，衰退，降低，减弱
げんりょう 減量 分量减少；减轻体重，减肥
げんがく 減額 减少金额，减额
わたします 渡します 交给，传递，渡过，交出
わたす 渡す 交给，传递，让渡，渡过
わたります 渡ります 过，渡，渡（河、桥等）；传递，交给；度日，生活
わたりどり 渡り鳥 候鸟，指随季节变化而迁徙的鸟类
わたる 渡る 1. 渡，过（河、桥等）；2. 经过，通过（时间、空间）；3. 遍及，达到；4. 交给，传递
うず 渦 漩涡；混乱状态，漩涡状的事物
あたたかい 温い 微温的，不烫的；温暖的；温和的，亲切的；富裕的，宽裕的
あたたまる 温まる （自動詞）1. 变得暖和，变暖；2. （身体、心情等）感到温暖，感到暖和
あたためます 温めます 加热，温热，使变暖
あたためる 温める/暖める 加热，使温暖，温（酒等），复习（知识等）
おんこう 温厚 温和宽厚，性格温和且待人宽容
おんわ 温和 1. 气温、气候等温暖宜人；2. 性格、态度等温和，不严厉，温柔；3. 政策、措施等平和，不极端
おんしつ 温室 名词 温室，暖房（用于栽培植物等的、能调节温度的建筑物）
おんしつこうかガス 温室効果ガス 温室效应气体，指大气中能吸收地面反射的长波辐射，并重新发射辐射的一些气体，如水蒸气、二氧化碳、大部分制冷剂等
おんど 温度 物体の冷たさや暖かさの程度を表す物理量。単位として摂氏(℃)や華氏(°F)、ケルビン(K)などが用いられる。
おんだん 温暖 形容動詞。温度や気候が適度に暖かいこと、または人の心や態度が優しく暖かいことを表す。
おんせん 温泉 温泉，从地下涌出的温度较高的泉水，常被用于泡澡、疗养等
おんせんち 温泉地 温泉胜地，有温泉的地方
はかる 測る 测量，测定；推测，揣摩
はかる 測る/量る 丈量，测量；推测，揣度；衡量，评估
そくてい 測定 测定，测量，对物体的长度、重量、温度、速度等进行数值化的测定
みなと 港 名词 港口，港湾，码头
みずうみ 湖 湖泊，湖
こめん 湖面 湖水的表面，湖面
わきあがる 湧き上がる （水、泉等）涌出，冒出；（感情、记忆等）涌起，涌现；（人群、声音等）沸腾，高涨
わきでる 湧き出る （液体、气体、情感等）涌出，冒出，涌现
わく 湧く 1. 涌现，产生（感情、想法等）；2. 涌出，冒出（液体、气体等）；3. （水等）涌出，喷出
ゆ 湯 热水；开水；洗澡水；浴池，澡堂
ゆのみ 湯呑み 茶碗，茶杯（主要指用来喝茶或热水的小杯子）
ゆげ 湯気 水蒸气，热气，热水或热饮等产生的白色雾气
ゆわかし 湯沸かし 烧水壶，煮水器
ゆのみ 湯飲み 茶杯，茶碗（用于饮用热水、茶等的杯子）
しめる 湿る 变潮湿，受潮，湿润
しつげん 湿原 沼泽地，湿地，泥炭地
しつど 湿度 空気中に含まれる水蒸気の量。空気が水蒸気で飽和している割合を示すもの。
しっけ 湿気 湿气，潮气，湿度
しめける 湿気る 受潮，变得潮湿；（空气中）湿度增加，变得湿润
みたす 満たす 1. 充满，填满；2. 满足，使满意；3. 履行，完成（义务等）
みちる 満ちる 1. 满，充满；2. 到期，期满；3. 月圆，盈满
まんいん 満員 满员；人员已满；座位全部坐满
まんきつ 満喫 1. 充分品尝，饱尝；2. 充分享受，尽情领略
まんじょう 満場 全场，满场，满堂（指集会、活动等场合中所有在场的人）
まんしつ 満室 房间已满，无空房间，满员
まんせき 満席 满座，没有空座位；所有座位都被占用的状态
まんげつ 満月 满月，圆月（指月亮圆满的状态或该时刻的月亮）
まんてん 満点 1. 满分；2. 完美无缺，无可挑剔
まんぞく 満足 名詞：満足感。欲望や要求が十分に満たされた状態。形容動詞：欲望や要求が十分に満たされているさま。満足している。
まんさい 満載 1. （交通工具等）满载，满员；2. （事物）充满，装满
まんかい 満開 （花等）盛开，怒放；（状态等）达到顶峰，全盛
みなもと 源 1. 发源地，源头；2. 起源，根源；3. 源流，水源；4. 家世，门第
じゅんじる 準じる 以……为标准；按照……处理；依照；遵循
じゅんび 準備 准备，预备；准备工作，准备好的东西
じゅんびうんどう 準備運動 运动前进行的、为了预防受伤和提高运动效果的身体活动
たまる 溜まる 积攒，积存；积压，停滞；（液体等）淤积，潴留
ためる 溜める 积攒，积蓄；积压，停滞；忍住，憋住
みぞ 溝 水沟，沟渠；槽，沟槽；（人与人之间的）隔阂，鸿沟
あふれる 溢れる （液体等）溢出，满溢；（人、物等）挤满，充满；洋溢，充满（某种情感或特质）
とかす 溶かす 溶解，溶化；使熔化，使融化；使消失，使消除
とく 溶く 调拌，调开，溶解；使融化，使熔化
とける 溶ける 1. 融化，溶解；2. 消融，消失；3. 融洽，融入
とけこむ 溶け込む 1. 溶解，融化；2. 融入，融合，融洽地相处
ようがん 溶岩 熔岩，从火山口流出的熔融岩石冷却后形成的岩石
ようえき 溶液 （物理、化学用语）两种或两种以上的物质混合形成的均匀稳定的分散体系，由溶质和溶剂组成
おぼれる 溺れる 溺水，淹没；沉溺于，专心致志于
できあい 溺愛 过分宠爱，溺爱
ほろびる 滅びる 灭亡，灭绝，消亡，毁灭，消失
ほろぼす 滅ぼす 毁灭，使灭亡，消灭，灭绝
めつぼう 滅亡 灭亡，灭绝，覆灭
なめらか 滑らか 1. 光滑的，滑溜溜的；2. 流利的，流畅的；3. 顺利的，顺畅的
すべります 滑ります 滑，滑行，滑落，打滑
すべりおちる 滑り落ちる 滑落，滑下；（地位、状态等）下降，跌落
すべる 滑る 1. 滑，打滑；2. 滑行，滑动；3. （时间等）流逝，悄悄过去；4. （机会等）错过，溜走
こっけい 滑稽 滑稽的，可笑的，诙谐的
たき 滝 瀑布，从高处落下的水流
とどこおる 滞る 1. 堵塞，停滞；2. 拖延，延误；3. 拖欠，未支付
たいざい 滞在 停留，逗留，居住（指在某地暂时居住或停留的状态）
たいざいします 滞在します 停留，逗留，居住（在某地一段时间）
たいのう 滞納 滞纳，拖欠（税金、费用等），逾期未缴
にじむ 滲む （颜色、墨水等）洇，渗；（液体、水分等）渗出，浸出；（情感、感觉等）流露，显露
しずく 滴 水滴，水珠；微量，少量
りょうし 漁師 渔夫，渔民（以捕鱼为职业的人）
ぎょぎょう 漁業 渔业，水产业（指捕捞、养殖鱼类及其他水生生物的产业）
ただよう 漂う 1. 漂浮，漂流；2. 洋溢，充满；3. 徘徊，萦绕
うるし0 漆 名词 生漆，漆；漆器
もらす 漏らす 漏；泄露；遗漏；流露，发泄
もる 漏る 漏，漏出，渗出，透出；泄露，暴露
もれます 漏れます 漏，泄漏；遗漏，漏掉；泄露，走漏
もれる 漏れる 漏；泄露；遗漏；溢出；被淘汰
えんじる 演じる 扮演，表演；发挥，表现；造成，引起
えんしゅつ 演出 导演；演出；表演；策划，组织安排
えんげき 演劇 戏剧；戏剧艺术；演剧
えんだん 演壇 讲台，讲坛；演讲台，发表意见的场所
えんそう 演奏 演奏，弹奏，吹奏
えんそうかい 演奏会 名词 演奏会，音乐会
えんぎ 演技 1. 演技，表演；2. 花招，把戏，假装
えんげい 演芸 文艺表演，演艺（包括歌舞、戏剧、曲艺等各种表演艺术的总称）
えんぜつ 演説 演说，演讲，发言
こぐ 漕ぐ 1. 划（船）；2. 蹬（自行车）；3. 荡（秋千）；4. （用手）搓，揉
ばくぜん 漠然 含糊的，笼统的，不明确的，模糊的
かんじ 漢字 汉字，日本汉字（源于中国的文字，在日本使用的表意文字）
かんぽうやく 漢方薬 中药，汉方药（基于中医理论使用的药物，多为植物、动物、矿物等天然材料制成）
かんご0 漢語 日语中来源于汉语的词汇，通常由汉字组成，音读
まんざい 漫才 日本传统喜剧形式，由两人搭档表演，通过对话和滑稽动作引人发笑，类似于中国的相声
まんが 漫画 漫画，连环画
つかる 漬かる 1. （被）浸泡，腌渍；2. 沉浸，深陷（某种状态）
つける 漬ける 腌，浸泡，腌渍；使沉浸，使陷入
つけもの 漬物 腌菜，咸菜，用盐、酱油、醋、味噌等腌制的蔬菜
みなぎる 漲る 1. 涨满，上涨（指水等液体）；2. 充满，洋溢（指情感、力量等）
ぜんじ 漸次 逐渐，逐步，渐渐（表示事物按顺序或阶段缓慢地变化）
いさぎよい 潔い 清高的，纯洁的；勇敢的，果断的，痛快的；（行为）正当的，光明磊落的
ひそむ 潜む 隐藏，潜藏；（事物、情感等）潜在，隐含
ひそめる 潜める 隐藏，潜藏；隐瞒，掩盖；抑制（感情等）；不作声，沉默
もぐりこむ 潜り込む 1. 潜入，钻入；2. 躲入，藏进；3. 深入，钻研
もぐる 潜る 1. 潜入，钻进，钻进水里；2. 钻入，钻进狭窄的空间；3. 潜藏，隐匿
せんにゅう 潜入 潜入，秘密进入；钻进，钻进深处
せんすい 潜水 潜水，潜入水中；秘密调查，暗中活动
うるおう 潤う 1. 湿润，润泽；2. 得到滋润，受益；3. （经济上）宽裕，充裕
