# ========================================================
# 50音伪装计算器 - 高考正版初级 + 新标日中级 黄金合体词库
# 优化：雷达追踪对齐，解除翻译限制，全量保留中级词汇
# ========================================================

あいず 合図 [信号]
ほこり 誇り [自豪，骄傲；荣誉]
ほこり 埃 [尘埃，灰尘，尘土]
ほじょ 補助 [补助，辅助]
ほしょうにん 保証人 [担保人，保证人]
ほそながい 細長い [细长]
ほぞん 保存 [保存]
ボタン 葡 botã o [纽扣，按钮]
ホッチキス Hotchkiss [订书机]
ホット hot [热的，热]
ほっと ほっと [放心，松了一口气]
ホテル hotel [宾馆，饭店；旅馆]
ほどう 歩道 [人行道]
ほめる 褒める [表扬，夸奖]
ボランティア volunteer [志愿者]
ほる 掘る [挖，挖掘]
ぼんおどり 盆踊り [盂兰盆舞]
ほんね 本音 [真心话]
ぼんやり ぼんやり [模糊；恍惚；发呆]
マイナス minus [减，负；亏损；不利]
まいる 参る [(自谦)去，来]
まえむき 前向き [面向前方，积极]
まかせる 任せる [托付，听任，听凭]
まがる 曲がる [弯曲，拐弯]
まく 巻く [卷上，缠上]
まくら 枕 [枕头]
まけずぎらい 負けず嫌い [好强，好胜，不认输]
まける 負ける [输，败；屈服，示弱]
まげる 曲げる [弄弯，歪曲]
まご 孫 [孙子(女)，外孙(女)]
まじめ 真面目 [认真，严肃，诚实]
ます 増す [增多，增大；增加，增添]
まずい 不味い [不好吃； （技艺）拙劣]
まずしい 貧しい [穷；贫穷，穷苦，贫困]
ますます 益益 [越发，越来越，更加]
まぜる 混ぜる [掺和，搅拌]
または または [或者，要么]
まちがえる 間違える [弄错，搞错，做错]
まったく 全く [完全，简直]
まつり 祭り [祭祀；祭日；庙会]
まどう 惑う [困惑，拿不定主意]
まとめる まとめる [汇总，概括，归纳]
マナー manner [礼貌，礼节；举止]
まぬがれる 免れる [避免，免受，豁免]
まぶしい 眩しい [耀眼，刺眼；]
まもる 守る [守卫，保卫；遵守]
まゆ 眉 [眉毛]
まよう 迷う [迷惑，犹豫，茫然失措]
まるうつし 丸写し [抄，照抄，抄写]
まるで まるで [宛如，完全]
まるまる まるまる [完全，全部，整整]
まわす 回す [转动；围上；转送,转到]
まわり 周り [周围]
まわる 回る [转，巡回，迂回]
まんぞく 満足 [满足，满意]
みかける 見かける [看到，看见]
みかた 味方 [同伙，自己人]
みじめ 惨め [悲惨，凄惨]
みずうみ 湖 [湖]
みせる 見せる [给…看，让…看；出示]
みたす 満たす [充满，填满，满足]
みちあふれる 満ち溢れる [洋溢，充满]
みちすじ 道筋 [路线；道理]
みつかる 見つかる [被发现，被找到]
みつける 見つける [找出，发现]
みとめる 認める [认识，承认]
みなおす 見直す [重看，重新估价、认识]
みなと 港 [港，港口]
みなれる 見慣れる [看惯]
みにつく 身に付く [成为自己的东西，掌握]
みにつける 身につける [穿戴在身上；掌握]
みぶり 身振り [形体动作]
みぶん 身分 [身份]
みまもる 見守る [注视，关怀，关注]
みまん 未満 [未满，不足]
みみもと 耳元 [耳边,耳旁]
みりょく 魅力 [魅力]
むえん 無縁 [无缘，没关系]
むかう 向かう [向，朝，面向；往～去]
むく 向く [向，面对；适合]
むける 向ける [向，朝，对]
むしば 虫歯 [蛀牙；蛀齿，龋齿]
むす 蒸す [蒸]
むすこ 息子 [儿子；男孩]
むすぶ 結ぶ [系结，结合；建立关系]
むすめ 娘 [女儿，闺女；女孩，姑娘]
むだ 無駄 [徒劳，无用；白费]
むてき 無敵 [无敌]
むね 胸 [胸，胸部；内心]
むよう 無用 [无用，禁止，无需]
むり 無理 [勉强，硬要]
むりょう 無料 [免费]
めい 姪 [侄女，外甥女]
めいし 名刺 [名片]
めいわく 迷惑 [麻烦，烦扰，为难，打搅]
メール mail [邮件]
めぐむ 恵む [施舍；救济，怜恤，周济]
めざす 目指す [以…为目标（目的）]
めし 飯 [饭；饭碗，生活，生计]
めずらしい 珍しい [新奇，稀奇；罕见]
めだつ 目立つ [显眼,显著,引人注目]
メッセージ message [寄语，留言，口信]
メディア media [媒介，宣传媒体]
めでたい めでたい [可贺可喜，出色]
めまい 眩暈 [头晕目眩]
メリット merit [优点，长处，价值]
めんせつ 面接 [面试，接见]
もうかる 儲かる [赚钱，赚]
もうける 儲ける [赚钱，发财，得利]
もうける 設ける [准备；设置，设立，制定]
もうしわけない 申し訳ない [非常抱歉，无法辩解]
もえる 燃える [燃烧]
もぐる 潜る [潜水；藏入；潜入]
もし もし [要是，如果]
もしくは もしくは [或，或者]
もたらす もたらす [带来〔去〕；招致，造成]
もちあげる 持ち上げる [举起,抬起,拿起；抬举]
もちあるく 持ち歩く [拿着...到处走]
もちいる 用いる [使用；任用；采用]
モチベーション motivation [动机，促动因素]
もちろん 勿論 [当然，不必说]
もっとも 最も [最，顶]
もとづく 基づく [根据，基于，按照]
もとめる 求める [想要，寻求，要求]
ものがたり 物語り [故事，传说]
ものごころ 物心 [懂事，懂人情世故]
ものまね 物真似 [模仿，仿效]
もはや 最早 [(事到如今)已经]
もみじ 紅葉 [枫叶,红叶]
もやす 燃やす [烧，燃火；燃起，迸发出]
もよう 模様 [花纹,图案；情况，样子]
もよおす 催す [举行；举办；主办]
もりあがる 盛り上がる [热烈，活跃，高涨]
もん 門 [大门]
もんく 文句 [话语；意见,牢骚；异议]
もんげん 門限 [关门时间]
やがて やがて [不久，最近；结果]
やかましい 喧しい [吵闹；严格，苛刻]
やく 焼く [烧，烤，烘烤]
やくす 訳す [译，翻译]
やくしょ 役所 [官署，官厅]
やくわり 役割 [任务，职务，作用]
やしなう 養う [养活，养育]
やせる 痩せる [瘦，瘠薄，贫瘠]
やつあたり 八つ当たり [乱发脾气，对谁都发火]
やっかい 厄介 [麻烦；难办]
やっと やっと [好不容易，总算，终于]
やとう 雇う [雇，雇佣]
やね 屋根 [屋顶，房顶]
やはり やはり [仍然，也，毕竟，还是]
やぶる 破る [弄破，打败]
やぶれる 破れる [破，破损]
やむ 止む [停止]
やるき やる気 [干劲]
やわらかい 柔らかい [软，嫩；柔软，柔和]
やわらげる 和らげる [使缓和，使柔和]
ゆか 床 [地板]
ゆかい 愉快 [愉快，开心]
ゆかた 浴衣 [夏季穿的单衣，浴衣]
ゆうしょう 優勝 [冠军，名列第一]
ユーモア humor [幽默，滑稽，诙谐]
ゆくえふめい 行方不明 [去向不明]
ゆずる 譲る [让，谦让，转让]
ゆだん 油断 [疏忽大意]
ゆでる 茹でる [煮，烫，焯]
ゆとり ゆとり [宽裕，余地]
ユニーク unique [独特]
ゆにゅう 輸入 [进口]
ゆびさき 指先 [指尖]
ゆるい 緩い [松，不紧；缓慢]
ゆるす 許す [宽恕，允许，认可]
ゆれる 揺れる [摇动，摇晃，摇摆]
よい 酔い [酔；晕车，晕船]
ようい 用意 [准备,预备；注意；警惕]
ようじ 用事 [应该做的事情]
ようす 様子 [情况，动向，迹象]
ようふく 洋服 [西式服装]
ようやく 漸く [好不容易；勉强；总算]
ようりょう 要領 [要领，要点；诀窍]
ヨーグルト Yoghurt [酸奶，酸乳酪]
よけい 余計 [过多，多余，更加]
よこぎる 横切る [横穿，穿过]
よごれる 汚れる [脏，肮脏]
よさん 予算 [预算]
よしゅう 予習 [预习]
よせる 寄せる [靠近，召集，投靠]
よそう 予想 [预料，预计]
よっぱらう 酔っ払う [喝得酩酊大醉，神志不清]
よてい 予定 [预定]
よなか 夜中 [半夜，深夜]
よのなか 世の中 [世上，社会]
よびかける 呼びかける [打招呼，呼吁，号召]
よぼう 予防 [预防]
よほど よほど [很，相当]
よめ 嫁 [儿媳妇；妻,媳妇儿,新娘]
よゆう 余裕 [富裕，充裕，从容]
よる 寄る [靠(近)；顺便到]
より より [更，更加]
よろこぶ 喜ぶ [欢喜，高兴；欣然接受]
よわる 弱る [软弱，衰弱]
ライフスタイル lifestyle [生活方式]
らく 楽 [轻松，舒服]
ラッシュ rush [拥挤时间]
ランキング ranking [排名，名次]
りえき 利益 [利益]
りかい 理解 [理解]
リサイクル recycle [废物回收利用]
リスク risk [风险]
リズム rhythm [韵律，格律，节奏]
りっぱ 立派 [漂亮，出色]
リハーサル rehearsal [彩排，排练]
りゅうこう 流行 [流行]
りよう 利用 [利用，发挥功能、长处]
りょうかい 了解 [了解，领会，明白]
りょうがえ 両替 [兑换，换钱]
りょうきん 料金 [费用]
りょうりつ 両立 [并存，两立]
りょかん 旅館 [(日式)旅馆]
リラックス relax [放松，松弛，缓和]
ルール rule [规则，规定]
るす 留守 [不在家]
れい 礼 [礼，谢意，谢礼，礼品]
れいぎ 礼儀 [礼节，礼貌]
れいぞうこ 冷蔵庫 [冰箱]
レジ register [收款处，收银员]
レジャー leisure [空闲，闲暇，业余时间]
レストラン restaurant [餐厅]
レポート report [报告书，小论文]
れんきゅう 連休 [连休]
レンタル rental [租赁，出租]
れんらく 連絡 [联络，联系]
ワイシャツ white shirt [(男)衬衫，衬衣]
ワイン wine [葡萄酒，红酒]
わかい 若い [年轻的]
わかす 沸かす [烧热，烧开]
わかちあう 分かち合う [分担，分享]
わがまま わがまま [任性]
わかもの 若者 [年青人]
わかれる 別れる [分开，分手，分别]
わく 湧く･沸く [涌出，冒出，沸腾]
わくわく わくわく [兴奋、期待]
わけ 訳 [原因；理由；道理]
わける 分ける [分；分开；分类；拉开]
わたす 渡す [送过河；交,付；交给]
わりあい 割合 [比例，比率；比较]
わりと 割と [比较…，]
わりばし 割り箸 [卫生筷子，一次性筷子]
わる 割る [分，除；弄碎]
われる 割れる [分裂；破裂，碎]
あいづちをうつ 相槌を打つ [打帮腔；随声附和]
あしがぼうになる 足が棒になる [腿脚累得要命；腿累酸]
あしをあらう 足を洗う [金盆洗手，改邪归正]
あせをかく 汗をかく [出(大)汗]
あたまにくる 頭に来る [头昏脑涨；气得发昏]
あとのまつり 後の祭り [马后炮，雨后送伞]
いきがつまる 息が詰まる [呼吸困难；憋气；感到压抑]
いじがわるい 意地が悪い [用心不良；故意刁难]
いわぬがはな 言わぬが花 [沉默是金，不语为妙]
おとをたてる 音を立てる [弄出声音；发出音响]
おににかなぼう 鬼に金棒 [如虎添翼]
かおがきく 顔が利く [有面子；吃得开]
かおがひろい 顔が広い [交际广]
きがきく 気が利く [机灵，有眼力见儿，乖巧]
きがすすむ 気が進む [想做（某事）]
きがつく 気がつく [发现，注意到]
きがちいさい 気が小さい [心眼小; 气量小; 度量小]
きげんをとる 機嫌を取る [讨好；取悦；逢迎]
きにいる 気に入る [中意，喜欢，看中]
きにさわる 気に障る [令人不快，触怒，得罪]
きにする 気にする [介意，在意]
きになる 気になる [在意，介意]
きをくばる 気を配る [多方注意，留神，用心周到]
くちがうまい 口が上手い [会说奉承话；嘴甜；嘴巧]
くびにする 首にする [撤职，开除]
くびをしめる 首を絞める [掐住脖子（勒死）]
けんとうをつける 見当を付ける [大致估计，预想]
こころをうつ 心を打つ [打动，感动]
せきをはずす 席を外す [离开，退居]
そうだんにのる 相談に乗る [参与商谈；帮人斟酌]
ちからをかりる 力を借りる [借助，寻求帮助]
てがかかる 手がかかる [费事；麻烦]
てがとどく 手が届く [办得到；够得着；买得起]
てにいれる 手に入れる [到手，据为己有]
てをうつ 手を打つ [采取措施；设法处理]
てをかす 手を貸す [帮助别人]
てをかりる 手を借りる [求别人帮忙，求助]
ねこにこばん 猫に小判 [投珠与豕；对牛弹琴]
ねんをおす 念を押す [叮问；叮嘱]
はじをかく 恥をかく [出丑；丢脸；丢人]
はながたかい 鼻が高い [得意扬扬]
はなしがはずむ 話が弾む [聊(谈)得起劲]
はなよりだんご 花より団子 [不求风流但求实惠]
はらがたつ 腹が立つ [生气，发怒]
ひにやける 日に焼ける [(太阳)晒黑(肤色)]
ほねがおれる 骨が折れる [费力气；费劲；棘手]
みみがとおい 耳が遠い [耳沉；耳背]
めがない 目がない [非常喜欢；着迷]
めにつく 目に付く [注意到，看到]
ものをいう 物を言う [说话；起作用，顶用]
