はこ 箱 箱子；盒子；容器等
たどる 辿る 1. 沿路前进；2. 追寻，追溯；3. 探索，摸索
うかい 迂回 迂回，绕道；曲折，间接。（道をぐるぐると回って進むこと。また、遠回りすること。物事の進捗などが、遠回りして行くこと。）
うかつ 迂闊 粗心大意，疏忽；考虑不周到、草率；糊涂、愚蠢
じんそく 迅速 快速，迅速，敏捷
むかえ 迎え 迎接；迎接的人；迎接的仪式
むかえます 迎えます 迎接；欢迎；迎来（某个时期、事件等）
むかえる 迎える 迎接；迎来；面对，面临（困难等）；接受（意见等）
ちか々 近々 不久，过几天；近期，最近
ちかい 近い （距离、时间等）近的；关系亲近的；（程度、状态等）接近的
ちかく 近く 附近；近处；旁边；距离近；时间近
ちかづく 近づく 临近；接近；靠近；凑到近处；关系变得亲密；变得相似
ちかづける 近づける 使……靠近；使……接近；使亲近；使关系拉近
きんせい 近世 历史上指从中世到近代之间的时期，在日本一般指江户时代（1603 - 1867 年）。
きんだい 近代 名词，指历史上资本主义产生和发展的时期，与古代、中世等相对；也可指近现代这一时间段。
きんだいか 近代化 名詞。现代化，使社会、经济、文化等方面具有现代特征的过程。
ちかよる 近寄る 挨近，靠近；接近（某一状态、情况等）；与……亲近，与……套近乎
きんねん 近年 最近の数年間、ここ数年。
きんじょ 近所 附近；街坊，邻居；四邻，周围一带
きんじょめいわく 近所迷惑 给邻居带来的麻烦、打扰邻里的行为或事情
きんがん 近眼 近视眼；近视
ちかみち 近道 近路，近道；捷径
ちかごろ 近頃 最近，近来
かえします 返します 归还，还；送回；返回；报答；反射；反复说
かえす 返す 归还；送回；返回；恢复原状；回报；回击
かえる 返る 1. 归还；返回（他の場所に戻る。帰る。）；2. 恢复，还原（元の状態に戻る。）；3. 翻转，翻过来（ひっくり返す。）；4. 反射，反响（音や光が反射する。）
へんじょう 返上 归还，奉还；（向上级等）呈递，上缴
へんじ 返事 回答，答复，回复；回信；回电
へんしん 返信 回信，回复（邮件、信息等）；回电
へんきゃく 返却 归还，退还；退回（所借或所收之物等）
へんぴん 返品 退货；退回的货物
へんとう 返答 回答，回复；答辩，应答
へんかん 返還 返还，归还
へんきん 返金 退还钱款，退款
せまる 迫る 1. 接近，迫近，临近；2. 逼迫，强迫；3. 使紧迫，使窘迫
はくりょく 迫力 名词。1. 压倒性的力量、气势；2. 扣人心弦、动人的力量
はくがい 迫害 迫害，压迫；虐待
のべる 述べる 陈述，叙述，说明；讲述，表达
じゅつご 述語 谓语，在句子中表示动作、状态等，对主语进行叙述、说明等的部分。
まよいます 迷います 犹豫，难以决定；迷路，迷失方向
まよう 迷う 迷路，迷失；犹豫；困惑；不知所措
めいしん 迷信 盲目地相信一些缺乏科学依据的事物或观念
まいご 迷子 迷路的孩子；走丢的人
めいわく 迷惑 麻烦，困扰；添麻烦，给人带来不便
めいわくする 迷惑する 给人添麻烦；感到麻烦，遭受烦扰
おいかける 追いかける 1. 追赶，追逐；2. 紧接着，随后；3. 追求，追寻；4. 赶制（工作等）
おいつく 追いつく 1. 赶上，追上；2. 来得及；3. 比得上，赶得上（他人的能力、水平等）
おいつく 追い付く 1. 赶上，追上（他人、车辆等）；2. 来得及（做某事）；3. 达到（与他人相同的水平、状态等）
おいだす 追い出す 把……赶出去；驱逐；辞退；开除；使离开
おいぬく 追い抜く 1. 赶过，超过（他の人や物を後ろに置いて先に進む）；2. 胜出，胜过（他の者より優れている、勝る）
おいこす 追い越す 赶过，超过；（数量等方面）超过，多于
おいこむ 追い込む 1. 赶进，撵进去；2. 逼入，使陷入；3. 集中（精力等）；4. （在比赛等中）使（对方）陷入不利境地
おう 追う 1. 追赶，追逐；2. 追求，谋求；3. 催逼，逼迫；4. 驱赶，驱逐
ついか 追加 添加；追加；补充
ついきゅう 追及 追究，追问；追赶；（数学等中）追及（指在一定时间内赶上前面的对象等情况）
ついほう 追放 将人或事物驱逐、驱赶出去；把人从组织、团体等中开除；也指将某人或某物从某个地方或状态中排除。
ついきゅう 追求 积极地寻求、探求；执着地追寻（目标、理想等）
ついきゅう 追究 深入调查、追查、探究；责问、追究责任等
ついせき 追跡 追踪；追查；跟踪
どかす 退かす 让⋯⋯躲开；挪走，搬走；使退避，使让开
どく 退く 躲开，让开；退出，离开；后退，撤退；辞官，退职
しりぞける 退ける 挪开，移开；击退，赶跑；排除，消除
たいきん 退勤 下班；下班时间
たいか 退化 生物体の器官や構造が、進化の逆方向に変化すること。また、一般に、機能や能力が低下すること。/ （生物体的器官或结构向进化的相反方向变化。此外，一般指功能或能力下降。）
たいがく 退学 学生が、学業を途中でやめること。
たいくつ 退屈 无聊；没趣；烦闷；寂寞
たいじ 退治 扑灭，消灭；打退；（祭祀等）祓除
たいしゃ 退社 辞职，退职；（下班）离开公司
たいしょく 退職 辞职；退职；退休
たいろ 退路 退避する道。後路。また、事態が悪化したときの身の寄り道。
たいいん 退院 （病人等）出院
おくります 送ります 送；寄；派遣；打发；送（人）；送别；运送；发送
おくりじょう 送り状 发货单；送货单；托运单
おくりむかえ 送り迎え 迎送，接送；迎来送往
おくる0 送る 1. 送，寄送（信件、包裹等）；2. 派遣，打发；3. 赠送，授予；4. 送别，送行；5. 发射（火箭等）
そうふ 送付 寄送；发送；寄出
そうべつ 送別 送别，送行
そうべつかい 送別会 欢送会，送别会
そうりょう 送料 运费，邮费
そうきん 送金 汇款，寄钱
にがす 逃がす 放跑；使逃脱；错过（机会等）；没抓住（机会等）；让…溜掉
にげます 逃げます 逃跑；逃避；溜走
にげる 逃げる 逃跑；逃避，推卸；躲避（风雨等）
にげだす 逃げ出す 急忙从某个地方逃走、跑开；偷偷地溜出
のがす 逃す 错过；放过；让……逃跑；使溜掉
のがれる 逃れる 1. 逃跑，逃脱；2. 逃避，躲避；3. 摆脱，脱离
とうぼう 逃亡 逃走，逃跑，逃亡；（资金等）外流
とうひ 逃避 躲开、避开不想面对的人、事物、情况等；回避
ぎゃく 逆 1. 相反，反；倒。2. 违背；逆。3. 逆运算。
さからう 逆らう 1. 逆着，与……相反（方向等）；2. 违抗，违背（命令、意愿等）；3. 不顺从，违背（自然规律、常理等）
そりあがり 逆上 （因激愤、悲痛等）血充上头，勃然大怒；（物价等）飞涨，暴涨
ぎゃっこう 逆光 从背后射来的光；逆着光线。
ぎゃくじょう 逆境 不顺利的境遇；逆境
さかさま 逆様 颠倒；相反；倒转；反向
ぎゃくてん 逆転 1. 向相反方向转变，逆转，反转。2. 位置、顺序等倒过来，颠倒。
ぎゃくゆにゅうする 逆輸入する （原本出口的商品等）反向进口，再输入
すきとおる 透き通る 1. 透明，能透过；2. 清澈；3. 看透，洞悉
とうてつ 透徹 透彻，彻底；（目光等）锐利、犀利
とうめい 透明 物体等能透过光线，清澈、无遮挡，可清晰看见另一侧的情况；也可形容人的性格、意图等坦率、无隐瞒。
とじょう 途上 途中，路上；（事物发展的）过程中，进程中
とちゅう 途中 1. 过程中；2. 中途；3. 路上
とぎれる 途切れる 中断，间断，断绝；（声音等）突然停止；（关系等）断绝
とほうもない 途方もない 毫无道理的；出奇的，惊人的，非常大的；难以置信的
とたん 途端 表示前项动作、状态发生后，紧接着发生了后项动作、状态，可译为“正当……的时候；刚一……就；一……就……”
とだえる 途絶える 断绝，中断；停止，中止
はう 這う 爬行；（植物）攀缘，爬；（人）匍匐前进；（时间等）缓缓流逝
かよいます 通います 来往，往返；定期去（学校、公司等场所）；上学；上班；常去
つう 通う 往返；定期往返于（学校、工作地点等）；上学，上班；经常出入（某处）
つうじます 通じます 1. 相通，相连；2. 通晓，精通；3. 传达，通报；4. 通过，穿过；5. 通用，适用
つうじる 通じる 通；通行；通往；通过；传达；使理解；精通；通晓；相通
とおす 通す 1. 使通过，使穿过；2. 使（电话等）接通；3. 持续，坚持到底；4. 使通行，使通过（检查等）；5. 透过，看穿
とおり 通り 1. 道路，街道；2. 来往，通行；3. 样子，情形；4. 按照，如同
とおりかかる 通りかかる 路过，经过；恰巧路过
とおります 通ります 通过，经过；沿着……走；按照，依据
とおりぬけます 通り抜けます 穿过，通过；（从人群等中）穿行而过；（在比赛等中）顺利通过（某一阶段等）
とおりぬける 通り抜ける 穿过；通过；穿行；走过
とおりすぎる 通り過ぎる 走过，经过；超过，超出（某范围、限度等）
とおる 通る 通过，经过；通往，通向；流通，通行；精通，熟悉
つうしん 通信 通信；通讯；信息传递
つうしんしゅだん 通信手段 通讯手段；通信手段
つうしんはんばい 通信販売 邮购；通过通信手段进行的商品销售方式，包括电话订购、网络购物等
つうきん 通勤 从家到工作地点或学校等的往来；上下班，上下学
つうきんラッシュ 通勤ラッシュ 上下班高峰，通勤高峰
つうほう 通報 通报，通知；报告，汇报
つうがく 通学 每天往返于家庭和学校之间上学；走读
つうちょう 通帳 存折，银行存折；账本，账册
つうじょう 通常 一般的な状況や普通の場合。平常、普通。
つうねん 通念 普遍的想法，普遍观念，一般观念；通常的看法
つうよう 通用 ①普遍适用；通用。②（货币、票据等）流通，通用。③（在某个范围内）通行，通用。
つうち 通知 通知；通告；消息
つうこう 通行 （行人、車両などが）通り抜けること。往来。
つうこうどめ 通行止め 禁止通行；禁止通行的标识
つうこうきんし 通行禁止 名詞。通行を禁止すること。また、その指示を表す標識。
つうやく 通訳 翻译；口译；口译员
つうろ 通路 通道，过道；（电路等的）通路，导通
つうか 通過 1. （从空间上）通过，穿过；2. （议案等）通过；3. （考试等）通过
つうたつ 通達 1. 通知，通告；2. 精通，熟悉；3. 迅速到达，顺利抵达
たくましい 逞しい 1. 健壮的，强壮的；2. 旺盛的；3. 了不起的，出色的
はやい 速い 快的；迅速的；速度快；敏捷的
はやい② 速い、早い 速い：速度快；早い：时间上早、快，也可表示提前、预先等
はやさ 速さ 速度；快速，迅速
はやめる 速める 使……加速，加快；提高（速度等）
すみやか 速やか 迅速的，及时的；立即，马上
そくど 速度 运动的物体在某个方向上单位时间内所通过的距离；事情进行的快慢程度。
そくたつ 速達 快件；快信；快递（邮件、包裹等）
つななる 連なる 1. 相连，连接，连绵；2. 排队，列队；3. 列席，参加；4. 关系到，关联
つらねる 連ねる 排列成行；罗列；使相连；使连贯；连同；包括
つれ 連れ 同伴；伴侣；伙伴；一同前往的人
つれてきます 連れて来ます 带（某人或某物）来；领着……来；伴随……而来
つれていきます 連れて行きます 带（某人）去；领着（某人）去
つれます 連れます 带，领；陪同，带着（某人）；携带（某物）
つれる 連れる 带；领；领（某人）去；带着（某物）；伴同；伴随
つれだす 連れ出す 把（人或物）带出去、领出去；带出（某种情绪、状态等）
れんちゅう 連中 伙伴，同伙（多含轻蔑或调侃意味）
れんきゅう 連休 连续的休息日，连休
れんごう 連合 联合；合并；联盟；结合
れんたい 連帯 联合，合作；（法律上）连带，共同负责；连带关系，一体感
れんそう 連想 由一事物而想起与之有关事物的思想活动；联想。
れんそうする 連想する 联想；想象；想起
れんじつ 連日 接连几天，连日，天天
れんめい 連盟 联盟，联合会
れんらく 連絡 联络，联系；通知，通报
れんぞく 連続 连续，接连不断；连贯，相连
たいほ 逮捕 司法機関が、犯罪の疑いのある人を拘束すること。
しゅうきゅうふつかせい 週休二日制 每周休息两天的制度，即双休日制度
しゅうかんし 週刊誌 周刊杂志
しゅうあけ 週明け 一周结束后的次日，通常指周一
しゅうまつ 週末 一周的最后两天，即星期六和星期日。
しゅうかん 週間 一周，一星期；周（时间单位）
すすみ 進み 1. 前进；进展  2. 进步；进度  3. （时间、年龄等的）推移，流逝
すすみます 進みます 前进，进展；进步，提高；（时间等）流逝；推进，推动；涨价等
すすむ 進む 前进；行进；进展；进步；发展；前往；推进；晋升；上涨；（时间等）流逝
すすめます 進めます 推进，使前进；使发展；进行；使（时间等）流逝；催促，促使
すすめる 進める 使⋯⋯前进；推进，促进；使（工作等）进展；推动；推荐，推举；使（某人）晋升；演奏（乐曲等）
すすんで 進んで 主动地，积极地，自愿地
しんしゅつ 進出 进入，打入；（企业等）向新领域、新市场等拓展，进军
しんか 進化 （生物の種や個体が、環境の変化に対応しながら、時間の経過とともに徐々に形態や機能などを変えていくこと。また、その結果生じた状態。）进化；（事物がだんだんと発展して、より高度な状態になること。）发展，演变
しんてい 進呈 恭敬地赠送、奉献（给上位者等）；进献
しんがく 進学 升入更高一级的学校继续学习，通常指从中学升入大学等情况
しんがくする 進学する 升学；进学校读书
しんぽ 進捗 （工作、学习等的）进展，进度
しんぽ 進歩 进步；长进；提高
しんこう 進行 1. 向前行进，前进；2. （事情等）发展，进展，进行；3. （病情等）恶化，加剧
しんろ 進路 1. 前进的道路；2. 去向，发展方向；3. （升学、就业等的）出路，途径
そらす 逸らす 1. 转移（视线、目光等）；2. 岔开（话题）；3. 错过（机会等）；4. 使偏离，使偏斜
それる 逸れる 偏离，错开；脱离，离开（既定的路线、方向、范围等）；走样，变形；出众，超群
いつざい 逸材 卓越的人才；出众的才能。
とげる 遂げる 完成，做完（工作、任务等）；实现（愿望、目标等）；达到（某种状态、程度等）
すいこう 遂行 执行，实行，贯彻；完成
おそい 遅い （速度）慢的；（时间）晚的；迟缓的；晚于规定时间的
おそくとも 遅くとも 最晚，最迟；至少
おくらす 遅らす 使……延迟；推迟，拖延
おくらせる 遅らせる 使延迟；使推迟；使拖后
おくれ 遅れ 1. 迟缓，延迟；2. 迟到；3. 落后，差距
おくれます 遅れます 迟到；延迟；晚，慢
おくれる 遅れる 迟到；晚；慢；落后；延误；进展慢
ちこく 遅刻 迟到；晚点
ちえん 遅延 延迟，拖延；误点
おそばん 遅番 晚班；晚班的人
あそびます 遊びます 玩，玩耍；游乐；消遣
あそぶ 遊ぶ 玩耍；游玩；嬉戏；消遣；游乐；摆弄
ゆうえんち 遊園地 游乐园，游乐场
ゆうぎ 遊戯 玩耍，游戏；消遣，娱乐
ゆうぼく 遊牧 游牧；逐水草而居的放牧生活
ゆうこう 遊興 游玩，作乐；娱乐活动
はこび 運び 搬运；搬运的东西；进展情况，进度；阶段
はこびます 運びます 搬运，运送；携带，搬运（物品等）
はこぶ 運ぶ 搬运；运送；携带；传播；推进；（棒球等）使跑垒员进垒
うんきゅう 運休 （交通工具等因各种原因）停止运行、停运
うんどう 運動 体育运动；活动，运转
うんどうかい 運動会 运动会
うんどうのうりょく 運動能力 运动能力，体能
うんどうする 運動する 进行运动；做运动
うんめい 運命 命运；宿命；天数
うんえい 運営 运营；经营；管理；运作
うんぱん 運搬 搬运，运输
うんが 運河 人工的に掘られた、水を通す河川。运河。
うんよう 運用 运用，应用；操作，使用
うんこう 運行 （列车、汽车等的）运行；（机械等的）运转、操作；（事业等的）运营、实施
うんちん 運賃 运费；车费
うんてん 運転 驾驶；操纵，操控；运营，经营
うんてんします 運転します 驾驶；开车；操纵
うんてんめんきょ 運転免許 驾驶证，驾驶执照
うんてんしゅ 運転手 驾驶员，司机
うんそう 運送 运送，运输
へんざい 遍在 普遍存在，遍及
すぎます 過ぎます ①（时间、季节等）经过，过去；②（程度、数量等）超过，超出；③走过，越过
すぎる 過ぎる 1. （时间）流逝；2. 经过，走过；3. 超过，超出；4. 过度，过分
すごします 過ごします 度过；生活；打发（时间）
すごす 過ごす 度过；生活；打发（时间）
あやまち 過ち 错误，过失；罪行，罪孽
かほご 過保護 过度保护；对孩子等过于娇惯呵护
かしん 過信 过度相信，过分信赖
かじょう 過剰 过剩，过多；过度
かじょうせいさん 過剰生産 生产过剩，指生产的产品数量超过了市场的需求数量
かろう 過労 过度劳累，疲劳过度
かはんすう 過半数 超过半数，过半
かこ 過去 过去；（佛教）前世
かだい 過大 过大，过大的，过大程度的
かしつ 過失 过失，过错；失误
かびん 過敏 1. 过敏；2. 过于敏感，神经质
かげき 過激 过激；极端；过分
かそ 過疎 人口稀少，人口过疏（地区人口数量过少，导致社会、经济等方面发展受到影响的现象）
かてい 過程 事物发展所经过的程序、阶段；事情进行或事物发展所经过的程序
かごん 過言 夸大的话，夸张，言过其实
みち 道 道路；路程，行程；方法，手段；道理，事理；（思想、宗教等的）教义，主张；（事物发展的）趋向，动向；（某一专业、技艺的）领域，门类
どうぐ 道具 1. 工具，用具，器具。2. （戏剧、电影等的）道具。
みちはば 道幅 道路的宽度
どうとく 道徳 社会やグループが定める行動規範や倫理的な基準。善と悪の区別や、正しい行いを指す概念。
どうり 道理 1. 道理；事理；情理。2. 规矩；道理；说法。
どうりで 道理で 怪不得，难怪；理所当然，自然
どうてい 道程 路程，路途，行程；途程，过程
みちばた 道端 道路的旁边；路边，路旁
どうろ 道路 供人马车辆通行的路；公路。
どうろこうじ 道路工事 道路施工；道路工程
みちづれ 道連れ 旅伴，同行者
たどりつく 達する 达到；完成；到达；达成（目标等）；及，涉及
たつじん 達人 在某方面技艺高超、精通的人；高手，能手，行家
たっせい 達成 达到，成就，完成；达成，实现（目标等）
たっしゃ 達者 精通，熟练；健康，健壮；擅长，拿手
ちがい 違い 不同；差异；区别；差别；分歧；不一致
ちがいない 違いない 表示推测，意为“一定、肯定、没错”
ちがいます 違います 不同，不一样；错误；有差异
ちがいます 違います 不同；不一样；不对；不是
ちがう 違う 不同；不一样；不一致；错误；违背；违反
ちがえる 違える 使不同；弄错，搞错；改变，更改
いはん 違反 违反，违背；触犯（法律、规定等）
いわかん 違和感 不协调感；异样感；别扭的感觉
いほう 違法 违反法律；非法
やぶる 遜る ①谦恭，谦逊；②不及，比不上，不如
とおい 遠い 远；遥远；久远；长远；（关系等）疏远
とおく 遠く 远处，远方；差距大（如在程度、数量等方面）
とおざかる 遠ざかる 1. 远离，离得越来越远；2. 疏远，关系变得冷淡
とおざける 遠ざける 使远离；躲开，避开；疏远；节制
とおまわり 遠回り 绕道，绕远；迂回的办法，绕圈子的做法
えんりょ 遠慮 客气；顾虑、犹豫；谢绝、婉拒；节制、自制
えんりょしておきます 遠慮しておきます 预先拒绝；提前推辞；算了，不用了
えんりょします 遠慮します ①客气，顾虑；②谢绝，婉拒
えんりょなく 遠慮なく 熟语，不客气；毫无顾忌地，尽情地
えんぽう 遠方 远方，远处；远方的地方，离说话人较远的地方
えんし 遠視 视力障碍的一种，近处物体看起来模糊，远处物体相对清晰，即远视。
えんそく 遠足 远足，徒步旅行；郊游
さかのぼる 遡る 逆流而上；追溯；回忆；回顾
やりくり 遣り繰り ① 设法安排，筹措；② （事情的）处理，办理；③ （商业等方面的）经营，运作
やりつづす 遣り通す 做完，完成；坚持做下去，贯彻到底
てきする 適する 适合，适于；适应
てきせつ 適切 恰当，适当，适合；恰到好处
てきぎ 適宜 适宜，适当；酌情；恰如其分，妥善
てきど 適度 适度，适当；（程度等）正好，恰到好处
てきとう 適当 适当，适宜；适中；适度；随便，敷衍；马马虎虎；一般
てきおう 適応 适应；适合；顺应
てきせい 適性 适合某种工作、活动等的素质、能力；适应性
てきよう 適用 适合某种情况或条件而被采用、应用；将规定、规则等应用于特定对象或情况
てきする 適する 适合；适应；相称；恰当
あう 遭う 遭遇，碰上；被（遇到不好的事情）
そうなん 遭難 遇难，遇险；遭遇灾难
さえぎる 遮る 阻挡；遮挡；遮住；挡住；妨碍；阻碍
しゃにむに 遮二無二 不顾一切地，一个劲儿地，贸然，盲目地
しゃだん 遮断 截断，切断，隔绝；隔断电路等使其不导通
えらびます 選びます 挑选，选择
えらぶ 選ぶ 选择；挑选；选定
せんてい 選定 选定，挑选确定
せんしゅ 選手 选手，运动员
せんたく 選択 选择；挑选
せんたくし 選択肢 （从多个事物中进行选择时的）选项，选择项
せんきょ 選挙 选举；推选
せんこう 選考 选拔；考试选拔；（对论文、作品等的）审查，评选
いでん 遺伝 遗传；遗传学
いかん 遺憾 遗憾，可惜；不满意，不满意的地方
いき 遺棄 丢弃；遗弃
いさん 遺産 遗产；遗留下来的东西
いりゅう 遺留 遗留、留下（多为死后留下财产、物品等；也可指留下某种现象、痕迹等）
いせき 遺跡 古代人类遗留下来的建筑物、生活痕迹等遗址、遗迹
さけます 避けます 回避，避免；躲避，躲开；让开，闪开
さける 避ける 避开，躲避，逃避；避免（不良情况等）；不选择（某个选项等）
ひなん 避難 躲避灾难、危险等；避难，逃难
ひなんする 避難する 避难，躲避危险；逃生
かんげん 還元 还原；恢复原状；（数学）化简
かんれき 還暦 名词。指人满六十岁，也指六十岁寿辰的庆祝活动。
じゃま 邪魔 1. 打扰；妨碍，阻碍。2. 拜访，串门
ていたく 邸宅 宅邸，公馆
こうがい 郊外 城市周围的地区；郊外，郊区
ぶか 部下 部下，下属；手下的人
ぶぶんてき 部分的 部分的；局部的；片面的
ぶひん 部品 零件，部件
ぶひんこうじょう 部品工場 零件制造厂；零部件工厂
へや 部屋 房间；屋子；家；办公室；店铺；（棋类等的）一局；（剧场等的）包厢
へやだい 部屋代 房租，房间的租金
ぶかつ 部活 社团活动（学校里学生自发组织参与的各种活动团体开展的活动）
ぶしょ 部署 部门；部署；安排，布置；配置
ぶちょう 部長 部长，部门负责人
ぶもん 部門 部门；部类
ゆうびん 郵便 邮政；邮件；邮票
ゆうびんうけ 郵便受け 信箱，邮筒，用来接收邮件的容器
ゆうびんきょく 郵便局 邮局，邮政局
ゆうそう 郵送 邮寄，用邮件发送
ごうど 郷土 故乡；地方，乡间；本地，当地
ごうしゅう 郷愁 乡愁；对故乡、过去等的思念、怀念之情
ごうり 郷里 故乡，家乡；老家；出生地
と 都 首都；大城市；繁华都市；京城
とかい 都会 大城市，都市；繁华的城市地区
とない 都内 东京都内；东京都中心地区
つごう 都合 1. 情况，情形；2. 方便，合适；3. 安排，处理；4. 关系，关联
とし 都市 城市；都市
とちょう 都庁 （日本的）都政府机关办公的地方；都政府
としん 都心 城市的中心地区；市中心
しゃくむ 酌む 1. 斟（酒等）；倒（茶等）。2. 考虑；斟酌；体谅；酌情处理。
くばる 配る 1. 分配，分给；2. 散发，传播（消息等）；3. 撒（药等）；4. 施展（影响力等）
はいふ 配付 分发，分配（给每个人）；配送，发送（物品等）
はいぐう 配偶 配偶者；夫妻中的一方
はいぶん 配分 分配，分摊；配给，分发
はいれつ 配列 排列；排列的顺序；阵列
はいぞく 配属 分配，调配，安排（人员等所属的部门、岗位等）
はいふ 配布 分发，散发，散布；（在一定范围内）分配
はいりょ 配慮 体谅，考虑，照顾；关怀，关照
はいりょ 配慮 考虑；照顾；关怀；体谅
はいきゅう 配給 配给；定量供应（物资）；分配
はいせん 配線 布线；架线；接线
はいち 配置 布置；安排；配置；设置
はいそう 配送 将货物从供应地送到需求地的物流活动，包括运输、分拣、包装等环节
はいたつ 配達 （货物、邮件等的）配送，投递，送货
さけ 酒 用米、麦、葡萄等为原料，经发酵酿造而成的含乙醇的饮料。
さかば 酒場 酒馆，酒吧
さけや 酒屋 卖酒的店铺；酒馆
しゅぞう 酒造 酿酒；酿酒业；酿酒公司
しゅるい 酒類 各种酒类；酒的种类
よう/よお 酔う 1. 醉，喝醉；2. 陶醉，沉醉，着迷
よっぱらう 酔っ払う 喝得酩酊大醉，烂醉如泥
す 酢 醋；酸味，酸劲儿
らくのう 酪農 乳畜业，以生产牛奶、奶制品等为主的农业
こうそ 酵素 酶；发酵剂；酵素（生物体の中で生じる化学反応を促進するためのタンパク質。また、発酵作用を起こすもの）
すっぱい 酸っぱい 酸的；（因嫉妒等而）心里不痛快的
さんせい 酸性 1. 化学上指在水溶液中能电离出氢离子的性质。2. 物体具有的这种性质。
さんそ 酸素 氧；氧气
だいごみ 醍醐味 1. 佛教用语，指从牛乳中提炼出的精华。2. 比喻事物的精髓、妙处；美味；妙趣，乐趣。
みにくい 醜い 丑陋的；丑恶的；难看的
しょうゆ 醤油 用大豆、小麦等酿造的咸的调味汁，用于烹饪、蘸食等
かもし出す 醸し出す 1. 酿造出；酿出（酒等）。2. 营造，产生，创造出（感觉、气氛等）。
しゃくほうする 釈放する 释放；放出；解放；赦免
おもい 重い （物品）重的；（心情）沉重的；（程度）严重的；（味道等）浓的；（责任等）重大的
おもさ 重さ 重量；分量
おもたい 重たい （物品）重的；（心情、感覚等）沉重的；（责任等）重大的；（颜色、味道等）浓的
かさなる 重なる 重叠；重复；赶在一起；重合
かさねて 重ねて 重叠；重复；反复；把……摞起来；把……重叠起来；再一次；又一次
かさねる 重ねる 1. 摞，叠放；2. 使重叠；3. 反复，重复；4. 使同时发生，使重合
かさねあわせる 重ね合わせる 使重叠；使叠加；使重合；将…放在一起比较、对照
おもみ 重み 1. 重量，分量；2. 重要性，影响力；3. 比重
かんがんじる 重んじる 重视；尊重；器重；看重
じゅうたい 重体/重態 重病，病危；严重的状态
じゅうりょく 重力 地球や天体が物体に及ぼす引力。物体が重量を持つ原因となる力。
じゅうこう 重厚 ①（性格、态度等）沉着，稳重；②（质地、外观等）厚重，厚实
じゅうだい 重大 重大的，重要的；严重的
じゅうほう 重宝 1. 珍贵的物品，宝贝；2. 便利，实用
じゅうやく 重役 公司等的高级管理人员，董事，监事；重要职务
じゅうてん 重点 重要な点。主な点。
じゅうびょうにん 重病人 重症患者，重病患者，重病号
おもくるしい 重苦しい 沉闷的，郁闷的，不舒畅的；费力的，麻烦的；（颜色等）深沉的，浓重的
じゅうふく 重複 同样的事物再次出现；反复，重复
じゅうよう 重要 重要，重大；紧要
じゅうようさ 重要さ 重要性，重要程度
じゅうし 重視 重视，看重
じゅうりょう 重量 物体にかかる重力の大きさ。また、その目安として用いる質量。重さ。
やとう 野党 在野党，非执政党
のはら 野原 原野，野地，空旷的野外，没有建筑物、树木等的开阔地带
やがい 野外 野外，郊外；户外（指远离城市、建筑物等的自然或开阔的户外区域，如山林、原野、沙漠等地方）
やがいコンサート 野外コンサート 露天音乐会
やしん 野心 （对权势、名利等的）野心，雄心，奢望
のほうし 野放し 1. 放养（牲畜等）；2. 放任自流，不管不问
やじ 野次 嘲笑、起哄、奚落的话语或声音；也可指对他人进行嘲笑、起哄的行为
やきゅう 野球 棒球（一种体育运动，在长方形场地上，运动员分为两队，用球棒击球并跑垒得分）
やきゅうじょう 野球場 棒球场；举行棒球比赛等活动的场地
やせい 野生 野生（指动植物在自然环境中生长、生存，未受人工培育或驯化的状态）
やさい 野菜 蔬菜，菜（一般指非肉类的可食用植物，包括根菜、叶菜、果菜等各类食用植物）
やろう 野郎 （多含轻蔑、贬义）小子，家伙；男人，汉子
りょう 量 量，数量；分量，重量；规模，程度
はかりうり 量り売り 名词，指（商品）按重量售卖，论斤卖，秤量出售
はかる 量る 1. 称，测量（重量、长度、容量等）；2. 估量，衡量（价值、能力、心情等）；3. 配给，分给（食物、物品等）
りょうさん 量産 批量生产，大量生产
りょうはん 量販 量贩，大量销售（以较低的价格大量销售商品的销售方式）
きん、かね 金 1. きん：金属；金钱，货币；金色；（化学元素）金（Au）；2. かね：钱，货币；金钱，钱财；费用，经费；价值，代价；（围棋、象棋等的）棋子
かねもうけ 金儲け 赚钱，获利，挣钱（常带有不择手段、贪图钱财的贬义色彩）
きんり 金利 利息，利率（指借款、存款等金融交易中，按照本金的一定比例计算的收益或费用）
きんぞく 金属 金属，具有光泽、延展性、容易导电、传热等性质的物质，如金、银、铜、铁、锰、锌等。
きんこ 金庫 保险柜，金库；（银行等的）金库，钱库；（寺院等的）藏经库，宝物库
かねもち 金持ち 有钱人，富人
きんぼし 金星 1. 金星（太阳系八大行星之一）；2. （剑道等中）击中对手有效部位的得分，胜利点；3. 非凡功绩，大功
きんぼしをあげる 金星をあげる 惯用语，指在比赛、考试等中取得优异成绩，获得金星（通常用于形容在某种竞争或考核中表现出色，取得类似“金星”这样的最高荣誉或优秀评价）
きんようび 金曜日 星期五
かなづち 金槌 锤子，铁锤；（转）不会游泳的人（因日语中“金槌（かなづち）”与“叶锤（かなづち）”谐音，而“叶锤”又可引申为不会游泳的人，此为俗语用法）
きんいろ 金色 金色，金黄色
きんゆう 金融 货币的发行、流通、回笼，贷款的发放、收回，存款的存入、提取，汇兑往来等经济活动。
きんせん 金銭 金钱，钱财，款项
